Cage Size,H3 Bird New Reg Price - changed 1-31-2019,H3 Bird New Sale Price - changed 1-31-2019,H3 reptile New Reg Price - changed 1-31-2019,H3 reptile New Sale Price - changed 1-31-2019,H3 Hood/Stand w cage price - changed 1-31-2019,H3 sys A POF/POT Price - changed 8/2011,H3 sys B POF/POT Price - changed 8/2015,H3 Rem Div Price  - changed 8/2015,H3 Cover Price - changed 10/2017 ,,H2 Bird New Reg Price - changed 1-31-2019,H2 Bird New Sale Price - changed1-31-2019,H2 reptile New Reg Price - changed 1-31-2019,H2 reptile New Sale Price - changed 1-31-2019,H2 Hood/Stand w cage price - changed 1-31-2019,H2 sys A POF/POT Price - changed 8/2011,H2 sys B POF/POT Price - changed 8/2015,H2 Rem Div Price  - changed 8/2015,H2 Cover Price - changed 10/2017,,Majestic New Bird Regular Price - changed 8/2011,Majestic New Bird Regular Price - changed 2016,Majestic New Bird Sale Price - changed 8/2011,Majestic New Bird Sale Price - changed 2016,Majestic New Reptile Regular Price - changed 8/2011,Majestic New Reptile Regular Price - changed 2016,Majestic New Reptile Sale Price - changed 8/2011,Majestic New Reptile Sale Price - changed 2016,Majestic Hood/Stands No Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2015,Majestic Hood/Stands with Door - changed 8/2011,Majestic Hood/Stands No Door - changed 2019,Majestic Hood/Stands with Door - changed 2015,POT B Price - changed 8/2011,Majestic Hood/Stands with Door - changed 2019,POT B Price - changed 2015,Majestic Rem. Div. Price - changed 8/2011,Majestic Rem. Div. Price - changed 2015,Majestic Cover Price - changed 8/2011,Majestic Cover Price - changed 2015
12-36-36,925.9, ,794.02, ,598.42,N/A**,395.95,173.95,242.16,,710.86, ,578.98, ,436.74,N/A**,395.95,194.95,242.16,,"1,765.95","2,567.13", , ,"1,681.95","2,449.38", , ,481.95,539.95,691.95,604.744,795.95,434.95,891.464,487.95,214.95,240.95,156.95,242.16
12-36-42,"1,016.20", ,862.34, ,644.24,N/A**,446.95,195.95,256.14,,783.24, ,629.38, ,469.22,N/A**,446.95,219.95,256.14,,"1,889.95","2,745.80", , ,"1,790.95","2,608.42", , ,520.95,583.95,728.95,654.024,838.95,474.95,939.624,531.95,238.95,267.95,164.95,256.14
12-36-48,"1,107.62", ,931.78, ,691.02,N/A**,497.95,217.95,270.09,,856.74, ,680.9, ,501.7,N/A**,497.95,244.95,270.09,,"2,014.95","2,922.22", , ,"1,898.95","2,765.22", , ,558.95,626.95,767.95,702.184,883.95,512.95,990.024,574.95,263.95,295.95,174.95,270.09
12-36-60,"1,367.74", ,"1,147.94", ,850.25,N/A**,630.95,273.95,298.05,,"1,041.82", ,822.02, ,600.26,N/A**,630.95,306.95,298.05,,"2,261.95","3,276.19", , ,"2,114.95","3,079.94", , ,632.95,708.95,841.95,794.024,968.95,616.95,1085.224,690.95,322.95,361.95,192.95,298.05
12-42-12,619.5, ,571.14, ,453.72,N/A**,211.95,84.95,200.25,,457.1, ,408.74, ,333.7,N/A**,211.95,95.95,200.25,,"1,352.95","1,982.96", , ,"1,331.95","1,939.78", , ,350.95,393.95,583.95,441.224,671.95,311.95,752.584,349.95,116.95,130.95,129.95,200.25
12-42-18,716.48, ,643.94, ,501.48,N/A**,268.95,107.95,214.23,,537.28, ,464.74, ,369.54,N/A**,268.95,120.95,214.23,,"1,481.95","2,165.83", , ,"1,442.95","2,101.06", , ,390.95,437.95,623.95,490.504,717.95,355.95,804.104,398.95,142.95,160.95,138.95,214.23
12-42-24,815.7, ,718.98, ,551.14,N/A**,328.95,129.95,228.18,,616.34, ,519.62, ,405.38,N/A**,328.95,145.95,228.18,,"1,609.95","2,349.81", , ,"1,553.95","2,263.46", , ,430.95,482.95,663.95,540.904,763.95,402.95,855.624,451.95,166.95,186.95,147.95,228.18
12-42-30,913.79, ,792.9, ,599.84,N/A**,385.95,152.95,242.16,,697.63, ,576.74, ,442.34,N/A**,385.95,171.95,242.16,,"1,738.95","2,531.56", , ,"1,663.95","2,423.62", , ,470.95,527.95,703.95,591.304,809.95,446.95,907.144,500.95,191.95,214.95,156.95,242.16
12-42-36,"1,009.65", ,864.58, ,646.65,N/A**,445.95,173.95,256.14,,777.81, ,632.74, ,479.3,N/A**,445.95,194.95,256.14,,"1,867.95","2,711.07", , ,"1,772.95","2,581.54", , ,510.95,572.95,742.95,641.704,854.95,493.95,957.544,553.95,214.95,240.95,164.95,256.14
12-42-42,"1,107.75", ,938.5, ,695.35,N/A**,503.95,195.95,270.09,,857.99, ,688.74, ,515.14,N/A**,503.95,219.95,270.09,,"1,995.95","2,895.06", , ,"1,883.95","2,743.94", , ,547.95,613.95,780.95,687.624,898.95,538.95,1006.824,603.95,238.95,267.95,174.95,270.09
12-42-48,"1,271.93", ,"1,078.50", ,800.23,N/A**,592.95,230.95,284.07,,970.65, ,777.22, ,577.86,N/A**,592.95,258.95,284.07,,"2,124.95","3,076.80", , ,"1,993.95","2,904.10", , ,587.95,658.95,820.95,738.024,944.95,607.95,1058.344,680.95,276.95,310.95,183.95,284.07
12-42-60,"1,482.68", ,"1,240.90", ,910.02,N/A**,713.95,273.95,312.03,,"1,137.72", ,895.94, ,656.26,N/A**,713.95,306.95,312.03,,"2,382.95","3,444.78", , ,"2,216.95","3,228.90", , ,666.95,746.95,899.95,836.584,1034.95,700.95,1159.144,785.95,322.95,361.95,201.95,312.03
12-48-12,666.46, ,613.7, ,485.65,N/A**,231.95,84.95,214.23,,487.26, ,434.5, ,353.86,N/A**,231.95,95.95,214.23,,"1,439.95","2,108.96", , ,"1,415.95","2,061.86", , ,368.95,413.95,624.95,463.624,718.95,346.95,805.224,388.95,116.95,130.95,138.95,214.23
12-48-18,770.11, ,690.98, ,535.34,N/A**,298.95,107.95,228.18,,575.23, ,496.1, ,393.06,213.99,298.95,120.95,228.18,,"1,572.95","2,297.15", , ,"1,528.95","2,226.50", , ,410.95,460.95,666.95,516.264,766.95,398.95,858.984,446.95,142.95,160.95,147.95,228.18
12-48-24,876.01, ,770.5, ,586.93,247.92,365.95,129.95,242.16,,663.21, ,557.7, ,432.26,247.92,365.95,145.95,242.16,,"1,704.95","2,484.22", , ,"1,640.95","2,390.02", , ,452.95,507.95,707.95,568.904,814.95,449.95,912.744,503.95,166.95,186.95,156.95,242.16
12-48-30,979.66, ,847.78, ,636.62,318.12,430.95,152.95,256.14,,751.18, ,619.3, ,470.34,N/A**,430.95,171.95,256.14,,"1,838.95","2,673.53", , ,"1,754.95","2,555.78", , ,493.95,553.95,751.95,620.424,864.95,500.95,968.744,561.95,191.95,214.95,164.95,256.14
12-48-36,"1,085.56", ,927.3, ,688.21,361.41,496.95,173.95,270.09,,839.16, ,680.9, ,510.66,N/A**,496.95,194.95,270.09,,"1,970.95","2,858.36", , ,"1,865.95","2,717.06", , ,535.95,600.95,792.95,673.064,911.95,551.95,1021.384,618.95,214.95,240.95,174.95,270.09
12-48-42,"1,246.34", ,"1,061.70", ,786.45,N/A**,593.95,208.95,284.07,,951.78, ,767.14, ,574.5,N/A**,593.95,234.95,284.07,,"2,104.95","3,047.67", , ,"1,979.95","2,882.82", , ,576.95,646.95,832.95,724.584,957.95,628.95,1072.904,704.95,251.95,282.95,183.95,284.07
12-48-48,"1,361.19", ,"1,150.18", ,845.66,N/A**,660.95,230.95,298.05,,"1,044.23", ,833.22, ,617.06,N/A**,660.95,258.95,298.05,,"2,236.95","3,234.74", , ,"2,091.95","3,046.34", , ,617.95,692.95,875.95,776.104,1007.95,680.95,1128.904,762.95,276.95,310.95,192.95,298.05
12-48-60,"1,588.66", ,"1,324.90", ,962.17,N/A**,794.95,273.95,325.98,,"1,225.78", ,962.02, ,702.18,N/A**,794.95,306.95,325.98,,"2,502.95","3,610.00", , ,"2,316.95","3,374.50", , ,700.95,785.95,958.95,880.264,1102.95,785.95,1235.304,880.95,322.95,361.95,209.95,325.98
12-60-12,765.97, ,704.42, ,554.26,N/A**,276.95,84.95,312.03,,558.77, ,497.22, ,403.14,N/A**,276.95,95.95,312.03,,"1,609.95","2,358.73", , ,"1,581.95","2,303.78", , ,404.95,453.95,707.95,508.424,814.95,418.95,912.744,469.95,116.95,130.95,201.95,312.03
12-60-18,885.22, ,792.9, ,609.72,N/A**,358.95,107.95,325.98,,661.22, ,568.9, ,449.06,N/A**,358.95,120.95,325.98,,"1,752.95","2,556.45", , ,"1,698.95","2,474.02", , ,450.95,505.95,754.95,566.664,868.95,481.95,973.224,539.95,142.95,160.95,209.95,325.98
12-60-24,"1,005.59", ,882.5, ,666.13,N/A**,436.95,129.95,339.96,,763.67, ,640.58, ,496.1,N/A**,436.95,145.95,339.96,,"1,894.95","2,757.52", , ,"1,817.95","2,647.62", , ,496.95,556.95,800.95,623.784,921.95,543.95,1032.584,609.95,166.95,186.95,219.95,339.96
12-60-30,"1,124.84", ,970.98, ,721.59,N/A**,516.95,152.95,353.94,,863.88, ,710.02, ,540.9,N/A**,516.95,171.95,353.94,,"2,035.95","2,951.88", , ,"1,932.95","2,814.50", , ,541.95,606.95,847.95,679.784,975.95,606.95,1093.064,679.95,191.95,214.95,228.95,353.94
12-60-36,"1,293.38", ,"1,108.74", ,818.93,N/A**,632.95,185.95,367.89,,988.74, ,804.1, ,608.1,N/A**,632.95,208.95,367.89,,"2,177.95","3,151.83", , ,"2,050.95","2,986.98", , ,587.95,658.95,891.95,738.024,1025.95,698.95,1149.064,782.95,226.95,254.95,237.95,367.89
12-60-42,"1,421.59", ,"1,206.18", ,882.01,N/A**,714.95,208.95,381.87,,"1,094.55", ,879.14, ,656.26,N/A**,714.95,234.95,381.87,,"2,318.95","3,350.67", , ,"2,168.95","3,158.34", , ,632.95,708.95,937.95,794.024,1078.95,761.95,1208.424,853.95,251.95,282.95,246.95,381.87
12-60-48,"1,549.80", ,"1,303.62", ,945.08,N/A**,796.95,230.95,395.85,,"1,200.36", ,954.18, ,705.54,N/A**,796.95,258.95,395.85,,"2,460.95","3,550.62", , ,"2,286.95","3,330.82", , ,679.95,761.95,983.95,853.384,1131.95,824.95,1267.784,923.95,276.95,310.95,254.95,395.85
12-60-60,"1,806.22", ,"1,498.50", ,"1,071.23",N/A**,956.95,273.95,493.65,,"1,410.86", ,"1,103.14", ,804.1,N/A**,956.95,306.95,493.65,,"2,743.95","3,943.81", , ,"2,519.95","3,669.06", , ,770.95,863.95,1075.95,967.624,1237.95,951.95,1386.504,1066.95,322.95,361.95,318.95,493.65
12-72-12,865.48, ,795.14, ,622.87,N/A**,322.95,84.95,424.71,,633.64, ,563.3, ,453.54,N/A**,322.95,95.95,424.71,,"1,783.95","2,609.62", , ,"1,748.95","2,546.82", , ,439.95,492.95,792.95,552.104,911.95,491.95,1021.384,550.95,116.95,130.95,228.95,424.71
12-72-18,"1,001.45", ,895.94, ,685.05,N/A**,415.95,107.95,441.48,,748.33, ,642.82, ,506.18,N/A**,415.95,120.95,441.48,,"1,932.95","2,816.86", , ,"1,869.95","2,722.66", , ,490.95,549.95,842.95,615.944,969.95,565.95,1086.344,633.95,142.95,160.95,237.95,441.48
12-72-24,"1,137.42", ,996.74, ,747.23,N/A**,510.95,129.95,458.25,,863.02, ,722.34, ,557.7,N/A**,510.95,145.95,458.25,,"2,083.95","3,026.34", , ,"1,991.95","2,900.74", , ,539.95,604.95,891.95,677.544,1025.95,638.95,1149.064,715.95,166.95,186.95,246.95,458.25
12-72-30,"1,310.34", ,"1,134.50", ,840.83,N/A**,646.95,163.95,475.02,,997.86, ,822.02, ,627.14,N/A**,646.95,183.95,475.02,,"2,233.95","3,236.94", , ,"2,114.95","3,079.94", , ,590.95,661.95,940.95,741.384,1082.95,746.95,1212.904,836.95,202.95,227.95,254.95,475.02
