HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
12-120-30,12,120,30,c,1,1,2123,1402,535,R,122,218,100,228,98,24,124,31,506,405,103,375.00,487.50,135.00,0,2109.00,0
12-120-36,12,120,36,c,1,1,2559,1702,573,R,139,218,100,265,98,29,124,37,506,405,105,450.00,585.00,162.00,0,2545.00,0
12-120-42,12,120,42,c,1,1,2805,2002,611,R,146,218,100,303,98,34,124,43,506,405,108,525.00,682.50,189.00,0,2791.00,0
12-120-48,12,120,48,c,1,1,3051,2146,804,R,153,218,100,340,98,39,124,50,506,405,110,600.00,780.00,216.00,0,3037.00,0
12-120-60,12,120,60,c,1,1,3251,2728,897,R,154,218,100,415,98,49,124,62,506,405,115,750.00,975.00,270.00,0,3237.00,0
12-120-72,12,120,72,c,1,1,4035,3119,1181,R,180,218,100,490,98,59,124,74,506,405,120,900.00,1170.00,324.00,0,4021.00,0
12-120-84,12,120,84,c,1,1,4527,3684,1291,R,194,218,100,565,98,68,124,87,506,405,124,1050.00,1365.00,378.00,0,4513.00,0
12-120-90,12,120,90,c,1,1,4379,3966,1346,R,186,218,100,603,98,73,124,93,506,405,127,1125.00,1462.50,405.00,0,4365.00,0
12-120-120,12,120,120,c,1,1,6332,4562,3188,B,218,218,106,940,98,98,124,124,506,405,139,1500.00,1950.00,540.00,0,6318.00,0
12-150-12,12,150,12,c,1,1,1795,777,373,R,114,252,100,143,122,10,155,12,506,405,96,187.50,243.75,67.50,0,1781.00,0
12-150-18,12,150,18,c,1,1,2095,1163,407,R,121,252,100,190,122,15,155,19,506,405,98,281.25,365.63,101.25,0,2081.00,0
12-150-24,12,150,24,c,1,1,2395,1428,562,R,128,252,100,236,122,20,155,25,506,405,100,375.00,487.50,135.00,0,2381.00,0
12-150-30,12,150,30,c,1,1,2474,1806,604,R,124,252,100,283,122,24,155,31,506,405,103,468.75,609.38,168.75,0,2460.00,0
12-150-36,12,150,36,c,1,1,2996,2183,647,R,142,252,100,329,122,29,155,37,506,405,105,562.50,731.25,202.50,0,2981.00,0
12-150-42,12,150,42,c,1,1,3296,2413,837,R,148,252,100,376,122,34,155,43,506,405,108,656.25,853.13,236.25,0,3281.00,0
